run,recipe,optional,pieces_per_run,grams_per_run,minutes_per_run,file
1,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
2,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
3,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
4,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
5,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
6,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
7,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
8,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
9,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
10,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
11,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
12,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
13,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
14,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
15,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
16,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
17,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
18,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
19,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
20,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
21,Q_EDGE_PLAIN_FULL,False,3,73.25,170.26,sliced/Q_EDGE_PLAIN_FULL/Q_EDGE_PLAIN_FULL_A1Mini_PETG.3mf
22,Q_EDGE_PLAIN_TAIL,False,1,24.46,61.96,sliced/Q_EDGE_PLAIN_TAIL/Q_EDGE_PLAIN_TAIL_A1Mini_PETG.3mf
23,Q_EDGE_BRANCH_FULL,False,2,73.43,180.05,sliced/Q_EDGE_BRANCH_FULL/Q_EDGE_BRANCH_FULL_A1Mini_PETG.3mf
24,Q_EDGE_BRANCH_FULL,False,2,73.43,180.05,sliced/Q_EDGE_BRANCH_FULL/Q_EDGE_BRANCH_FULL_A1Mini_PETG.3mf
25,Q_EDGE_BRANCH_FULL,False,2,73.43,180.05,sliced/Q_EDGE_BRANCH_FULL/Q_EDGE_BRANCH_FULL_A1Mini_PETG.3mf
26,Q_EDGE_BRANCH_FULL,False,2,73.43,180.05,sliced/Q_EDGE_BRANCH_FULL/Q_EDGE_BRANCH_FULL_A1Mini_PETG.3mf
27,Q_EDGE_BRANCH_FULL,False,2,73.43,180.05,sliced/Q_EDGE_BRANCH_FULL/Q_EDGE_BRANCH_FULL_A1Mini_PETG.3mf
